Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Notes,ID
Deposit,2020-11-10 4:14:15,,,,,,,,,1998,,,1998,Transaction ID: 1849049816544606,8c811ee4-d763-4f3d-b4b4-24c0eaaf2102
Market buy,2020-11-10 8:02:23,IE00B3XXRP09,VUSA,Vanguard S&P 500 ETF,3,51.2,GBP,0.89682,,171.27,,,,,EOF537524825
Market buy,2020-11-10 8:02:36,JE00B1VS3770,PHGP,WisdomTree Physical Gold,0.3260707,13584,GBX,89.68103,,49.39,,,,,EOF537534087
Market sell,2020-11-10 8:02:36,IE00B3XXRP09,VUSA,Vanguard S&P 500 ETF,3.46553,51.15,GBP,0.89711,4.31,197.59,,,,,EOF537533912
Market buy,2020-11-10 8:02:54,IE00B3RBWM25,VWRL,Vanguard FTSE All-World,0.588701,75.24,GBP,0.89682,,49.39,,,,,EOF537541378
Market buy,2020-11-10 8:03:45,IE00B1XNHC34,INRG,iShares Global Clean Energy,4.687137,945,GBX,89.68103,,49.39,,,,,EOF537550765
Market buy,2020-11-10 8:05:25,IE0032077012,EQQQ,Invesco EQQQ NASDAQ-100 GBX,0.20157206,21974,GBX,89.68103,,49.39,,,,,EOF537571377
Market buy,2020-11-10 9:45:40,IE00B1XNHC34,INRG,iShares Global Clean Energy,12.095431,936.5,GBX,89.21999,,126.96,,,,,EOF538011918
Market buy,2020-11-10 9:45:40,JE00B1VS3770,PHGP,WisdomTree Physical Gold,0.84068362,13474,GBX,89.21999,,126.96,,,,,EOF538011921
Market buy,2020-11-10 9:45:40,IE00B3XXRP09,VUSA,Vanguard S&P 500 ETF,35.54552,50.99,GBP,0.89218,,2031.48,,,,,EOF538011896
Market buy,2020-11-10 9:45:40,IE00B3RBWM25,VWRL,Vanguard FTSE All-World,1.510097,75.01,GBP,0.89219,,126.96,,,,,EOF538011901
Market buy,2020-11-10 9:45:40,IE0032077012,EQQQ,Invesco EQQQ NASDAQ-100 GBX,0.52137398,21726,GBX,89.21999,,126.96,,,,,EOF538011889
Deposit,2020-11-10 21:39:44,,,,,,,,,1000,,,1000,Transaction ID: 1726050443847337,5ce1d661-8ff2-42fe-b103-a306b08230ee
Market sell,2020-11-16 8:00:37,IE0032077012,EQQQ,Invesco EQQQ NASDAQ-100 GBX,0.72294604,22193,GBX,89.65389,2.61,178.96,,,,,EOF551242780
Market sell,2020-11-16 8:01:04,IE00B3RBWM25,VWRL,Vanguard FTSE All-World,2.098798,76.03,GBP,0.8964,1.66,178.01,,,,,EOF551259832
Market sell,2020-11-16 8:01:24,JE00B1VS3770,PHGP,WisdomTree Physical Gold,1.16675432,13556,GBX,89.6316,0.11,176.46,,,,,EOF551272512
Market sell,2020-11-16 8:01:28,IE00B1XNHC34,INRG,iShares Global Clean Energy,16.782568,948,GBX,89.6333,1.15,177.5,,,,,EOF551274805
Market buy,2020-11-16 8:02:43,IE00BK5BQT80,VWRA,Vanguard FTSE All-World USD,41,94.62,USD,1.18541,,3272.64,,,,,EOF551318916
Market sell,2020-11-16 8:02:43,IE00B3XXRP09,VUSA,Vanguard S&P 500 ETF,79.903438,51.87,GBP,0.89641,117.58,4623.05,,,,,EOF551318620
Market buy,2020-11-16 8:02:47,IE00BFMXXD54,VUAA,Vanguard S&P 500,28.421804,65.45,USD,1.18553,,1569.08,,,,,EOF551321936
Market buy,2020-11-16 8:05:01,IE00BK5BQT80,VWRA,Vanguard FTSE All-World USD,4.868187,94.61,USD,1.18541,,388.54,,,,,EOF551368264
Market buy,2020-11-16 11:34:52,IE00BFMXXD54,VUAA,Vanguard S&P 500,5.998294,65.38,USD,1.18436,,331.12,,,,,EOF551879269
Market buy,2020-11-16 11:34:54,IE00BK5BQT80,VWRA,Vanguard FTSE All-World USD,9.669955,94.63,USD,1.18437,,772.62,,,,,EOF551879316
Market sell,2020-11-17 8:00:32,IE00BFMXXD54,VUAA,Vanguard S&P 500,34,65.19,USD,1.18458,-5.93,1871.08,,,,,EOF555264271
Market sell,2020-11-17 8:00:32,IE00BK5BQT80,VWRA,Vanguard FTSE All-World USD,0.538142,94.6,USD,1.18459,0.02,42.98,,,,,EOF555264210
Market sell,2020-11-17 8:00:32,IE00BK5BQT80,VWRA,Vanguard FTSE All-World USD,24,94.6,USD,1.18459,0.61,1916.61,,,,,EOF555264333
Market sell,2020-11-17 8:00:33,IE00BK5BQT80,VWRA,Vanguard FTSE All-World USD,31,94.6,USD,1.18459,0.78,2475.62,,,,,EOF555264355
Market sell,2020-11-17 8:00:49,IE00BFMXXD54,VUAA,Vanguard S&P 500,0.420098,65.17,USD,1.18469,-0.08,23.11,,,,,EOF555275547
Market buy,2020-11-17 8:04:22,IE00BKM4GZ66,IS3N,iShares Core MSCI EM IMI EUR,20.223701,27.94,EUR,1,,565.03,,,,,EOF555349395
